اسم_تجاري_شائع_في_مصر,المادة_الفعالة,الشكل_الصيدلي_الشائع,التصنيف,الاستخدامات_الشائعة,جرعة_بالغين_عامة,أعراض_جانبية_شائعة,تحذيرات_مختصرة,حالة_الصرف,ملاحظة_للبوت,مصادر_للتحقق
Panadol,Paracetamol / Acetaminophen,أقراص / شراب,مسكن وخافض حرارة,الصداع، آلام الجسم، الحمى، آلام الأسنان البسيطة,غالبًا 500-1000 مجم كل 6-8 ساعات عند اللزوم، بحد أقصى 4 جم يوميًا للبالغين,غثيان نادر، حساسية جلدية نادرة,تجنب تجاوز الجرعة؛ الحذر مع أمراض الكبد أو تناول الكحول أو استخدام أدوية أخرى تحتوي على باراسيتامول,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Muscadol,Paracetamol + Orphenadrine citrate,أقراص,مسكن وباسط عضلات,تقلصات وآلام العضلات المصاحبة للشد,حسب النشرة/الطبيب؛ غالبًا بعد الأكل عند اللزوم,نعاس، جفاف فم، دوخة,تجنب القيادة إذا سبب نعاس؛ الحذر مع الجلوكوما وتضخم البروستاتا,بدون وصفة/بوصفة حسب الصرف,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Myofen,Ibuprofen + Chlorzoxazone,كبسولات,مسكن ومضاد التهاب وباسط عضلات,آلام العضلات والشد العضلي,حسب النشرة/الطبيب، ويفضل بعد الأكل,نعاس، دوخة، حموضة أو ألم معدة,الحذر مع قرحة المعدة والكلى؛ تجنب القيادة إذا حدث نعاس,بوصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Relaxon,Paracetamol + Chlorzoxazone,كبسولات,مسكن وباسط عضلات,تقلصات العضلات وآلام الظهر والرقبة,حسب النشرة/الطبيب,نعاس، دوخة، غثيان,الحذر مع أمراض الكبد؛ لا تجمعه مع باراسيتامول آخر,بوصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Reparil Gel N,Escin + Diethylamine salicylate,جل موضعي,مضاد تورم ومسكن موضعي,الكدمات، التورم، الالتواءات، آلام موضعية,يوضع طبقة خفيفة على المكان المصاب حسب النشرة,احمرار أو تهيج جلدي موضعي,لا يوضع على جروح مفتوحة أو قرب العين؛ أوقفه عند حساسية شديدة,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Fastum Gel,Ketoprofen,جل موضعي,NSAID موضعي,آلام العضلات والمفاصل والالتواءات,يوضع موضعيًا حسب النشرة,حساسية أو تهيج جلدي، حساسية للشمس,تجنب الشمس على مكان الاستخدام؛ لا يستخدم على الجروح,بدون وصفة/بوصفة حسب الصرف,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Congestal,Paracetamol + Pseudoephedrine + Chlorpheniramine,أقراص / شراب,دواء برد واحتقان,أعراض البرد: رشح، احتقان، صداع، حرارة,حسب النشرة؛ لا تجمعه مع باراسيتامول أو مزيلات احتقان أخرى,نعاس، جفاف فم، خفقان، ارتفاع ضغط,الحذر مع الضغط، القلب، الغدة الدرقية، الجلوكوما، تضخم البروستاتا,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Cold Free,Paracetamol + مزيل احتقان + مضاد هيستامين ± مكونات كحة حسب الشكل,أقراص,أعراض برد وإنفلونزا,رشح، احتقان، صداع، آلام الجسم، أعراض البرد,حسب النشرة فقط؛ تجنب تكرار الباراسيتامول مع أدوية أخرى,نعاس، جفاف فم، دوخة، خفقان,الحذر مع الضغط والقلب؛ لا يستخدم للأطفال إلا بتوجيه مختص,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Flurest N,Paracetamol + Pseudoephedrine + Chlorpheniramine ± Caffeine حسب الشكل,أقراص,أعراض برد,احتقان ورشح وصداع وارتفاع حرارة,حسب النشرة؛ لا تتجاوز جرعة الباراسيتامول اليومية,نعاس أو أرق، جفاف فم، خفقان,الحذر مع الضغط والقلب وفرط نشاط الغدة الدرقية,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Rhinopront,Carbinoxamine + Phenylephrine/Pseudoephedrine حسب الشكل,كبسولات / شراب,مزيل احتقان ومضاد حساسية,انسداد الأنف والرشح المرتبط بالبرد أو الحساسية,حسب النشرة/الطبيب,نعاس، جفاف فم، خفقان,الحذر مع الضغط والقلب والجلوكوما؛ قد يسبب نعاس,بدون وصفة/بوصفة حسب الشكل,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Claritine,Loratadine,أقراص / شراب,مضاد هيستامين غير مسبب للنعاس غالبًا,حساسية الأنف، الرشح التحسسي، العطس، الحكة,للبالغين غالبًا 10 مجم مرة يوميًا حسب النشرة,صداع، جفاف فم، نعاس قليل,الحذر في أمراض الكبد؛ راجع الطبيب للحمل والرضاعة,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Zyrtec,Cetirizine,أقراص / نقط / شراب,مضاد هيستامين,حساسية الأنف والجلد والحكة والارتكاريا,للبالغين غالبًا 10 مجم مرة يوميًا حسب النشرة,نعاس، جفاف فم، صداع,قد يسبب نعاس؛ الحذر مع القيادة والكلى,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Telfast,Fexofenadine,أقراص / شراب,مضاد هيستامين غير مسبب للنعاس غالبًا,حساسية الأنف الموسمية والارتكاريا,غالبًا 120 أو 180 مجم مرة يوميًا للبالغين حسب الحالة والنشرة,صداع، غثيان، دوخة,تجنب تناوله مع عصائر فواكه معينة حول وقت الجرعة؛ الحذر مع الكلى,بدون وصفة/بوصفة حسب التركيز,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Aerius,Desloratadine,أقراص / شراب,مضاد هيستامين,حساسية الأنف والارتكاريا والحكة,للبالغين غالبًا 5 مجم مرة يوميًا حسب النشرة,صداع، جفاف فم، إرهاق,استشر الطبيب في الحمل والرضاعة أو أمراض الكبد/الكلى,بدون وصفة/بوصفة حسب الصرف,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Fenistil,Dimetindene maleate,نقط / جل,مضاد هيستامين,حساسية، حكة جلدية، لدغات حشرات؛ الجل للحكة الموضعية,حسب الشكل والعمر؛ اتبع النشرة بدقة,نعاس مع النقط، جفاف فم، تهيج جلدي مع الجل,الحذر للأطفال الصغار؛ لا يستخدم على مساحات كبيرة بدون استشارة,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Otrivin,Xylometazoline,نقط / بخاخ أنف,مزيل احتقان موضعي,انسداد الأنف المؤقت مع البرد أو الحساسية,بخاخ/نقط حسب النشرة لمدة قصيرة لا تتجاوز غالبًا 3-5 أيام,جفاف أو حرقان بالأنف، عطس,لا يستخدم لفترة طويلة حتى لا يسبب احتقان ارتدادي؛ الحذر مع الضغط,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Avamys,Fluticasone furoate,بخاخ أنف,كورتيكوستيرويد موضعي للأنف,حساسية الأنف المزمنة أو الموسمية,حسب وصف الطبيب؛ يحتاج استخدامًا منتظمًا,نزيف بسيط من الأنف، جفاف أو تهيج,لا يستخدم عشوائيًا؛ أخبر الطبيب عند عدوى أنفية أو استخدام كورتيزون آخر,بوصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Rhinocort,Budesonide,بخاخ أنف,كورتيكوستيرويد موضعي,حساسية الأنف والانسداد التحسسي,حسب وصف الطبيب/النشرة,تهيج أو جفاف الأنف، نزيف بسيط,يحتاج متابعة إذا استخدم لفترات طويلة؛ الحذر مع العدوى,بوصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Strepsils,"Amylmetacresol + 2,4-Dichlorobenzyl alcohol",استحلاب,مطهر للحلق,التهاب واحتقان الحلق البسيط,قرص استحلاب حسب النشرة مع عدم تجاوز الجرعة,تهيج فم أو حساسية نادرة,لا يغني عن الطبيب إذا وجدت حرارة عالية أو صعوبة بلع أو أعراض شديدة,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Tantum Verde,Benzydamine hydrochloride,غرغرة / بخاخ / استحلاب,مسكن ومضاد التهاب موضعي للفم والحلق,التهاب الحلق، قرح الفم، ألم الفم,حسب الشكل والنشرة,تنميل أو حرقان موضعي، جفاف فم,لا يبلع محلول الغرغرة؛ تجنب الاستخدام عند حساسية للمادة الفعالة,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Betadine Gargle,Povidone iodine,غرغرة,مطهر للفم والحلق,التهاب الحلق البسيط والعناية الفموية المؤقتة,يخفف/يستخدم حسب النشرة ولا يبلع,تهيج موضعي، طعم غير مستحب,الحذر مع أمراض الغدة الدرقية أو حساسية اليود أو الحمل إلا باستشارة,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Controloc,Pantoprazole,أقراص / فيال,مثبط مضخة البروتون PPI,الحموضة، ارتجاع المريء، قرحة المعدة حسب التشخيص,غالبًا يؤخذ قبل الأكل؛ الجرعة يحددها الطبيب حسب الحالة,صداع، إسهال أو إمساك، ألم بطن,لا يستخدم طويلًا بدون متابعة؛ راجع الطبيب عند قيء دموي أو نقص وزن أو صعوبة بلع,بوصفة/بدون حسب التركيز,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Nexium,Esomeprazole,أقراص / أكياس / فيال,PPI,ارتجاع المريء والحموضة وقرح المعدة,حسب الطبيب؛ غالبًا قبل الأكل,صداع، غثيان، إسهال أو إمساك,الاستخدام الطويل يحتاج متابعة؛ قد يتداخل مع بعض الأدوية,بوصفة/بدون حسب التركيز,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Losec,Omeprazole,كبسولات,PPI,حموضة وارتجاع وقرحة معدة,حسب النشرة/الطبيب؛ غالبًا قبل الإفطار,صداع، اضطراب معدة، غثيان,استشر الطبيب عند أعراض إنذار مثل نزف أو صعوبة بلع؛ لا تطل الاستخدام ذاتيًا,بدون وصفة لبعض الحالات/بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Omepak,Omeprazole,كبسولات,PPI,الحموضة وارتجاع المريء,حسب النشرة؛ غالبًا قبل الأكل,صداع، انتفاخ، اضطراب هضم,راجع الطبيب إذا استمرت الأعراض أو مع نقص وزن/قيء دموي,بدون وصفة/بوصفة حسب الحالة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Gaviscon,Sodium alginate + Sodium bicarbonate + Calcium carbonate,شراب / أقراص مضغ,مضاد ارتجاع وحموضة,حموضة وارتجاع بعد الأكل,بعد الأكل وقبل النوم حسب النشرة,انتفاخ، غثيان نادر,الحذر مع تقليل الصوديوم أو أمراض الكلى؛ افصل بينه وبين بعض الأدوية,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
